Date : 2024-06-29 12:30:45
Directory : y:\RAMworkspace\F4Z_test
Total : 340 files,  29153 codes, 27966 comments, 12608 blanks, all 69727 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_open_notify_set.c                     | C              |          8 |         63 |         12 |         83 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_read.c                                | C              |         31 |         72 |         25 |        128 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_space_available.c                     | C              |         22 |         70 |         16 |        108 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_volume_get.c                          | C              |         13 |         69 |         11 |         93 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_volume_get_extended.c                 | C              |        159 |        133 |         84 |        376 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_volume_set.c                          | C              |        250 |        183 |        132 |        565 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_write.c                               | C              |         36 |         75 |         28 |        139 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_partition_offset_calculate.c                | C              |        123 |        164 |         59 |        346 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_system_date_get.c                           | C              |         25 |         74 |         21 |        120 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_system_date_set.c                           | C              |         10 |         65 |         14 |         89 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_system_initialize.c                         | C              |        106 |         77 |         25 |        208 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_system_time_get.c                           | C              |         25 |         74 |         21 |        120 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_system_time_set.c                           | C              |         10 |         65 |         14 |         89 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_system_timer_entry.c                        | C              |        170 |        106 |         68 |        344 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_directory_create.c                  | C              |        112 |        120 |         60 |        292 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_directory_entry_change.c            | C              |        184 |        127 |         80 |        391 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_directory_entry_read.c              | C              |        351 |        239 |        159 |        749 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_directory_rename.c                  | C              |        145 |        135 |         74 |        354 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_directory_search.c                  | C              |        261 |        154 |         87 |        502 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_file_create.c                       | C              |        113 |        120 |         60 |        293 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_file_rename.c                       | C              |        146 |        137 |         71 |        354 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_length_get.c                        | C              |          7 |         64 |         11 |         82 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_length_get_extended.c               | C              |         21 |         65 |         18 |        104 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_name_get.c                          | C              |          8 |         69 |         11 |         88 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_name_get_extended.c                 | C              |         37 |         80 |         29 |        146 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_short_name_get.c                    | C              |          8 |         69 |         11 |         88 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_unicode_short_name_get_extended.c           | C              |         29 |         77 |         25 |        131 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_16_unsigned_read.c                  | C              |         11 |         62 |         13 |         86 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_16_unsigned_write.c                 | C              |          9 |         62 |         11 |         82 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_32_unsigned_read.c                  | C              |         13 |         62 |         13 |         88 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_32_unsigned_write.c                 | C              |         11 |         62 |         11 |         84 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_64_unsigned_read.c                  | C              |         15 |         61 |         15 |         91 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_64_unsigned_write.c                 | C              |          9 |         62 |         11 |         82 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_FAT_entry_read.c                    | C              |        202 |        150 |         94 |        446 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_FAT_entry_write.c                   | C              |         99 |        113 |         54 |        266 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_FAT_flush.c                         | C              |        262 |        183 |        120 |        565 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_FAT_map_flush.c                     | C              |         57 |         86 |         30 |        173 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_FAT_sector_get.c                    | C              |         31 |         68 |         21 |        120 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_absolute_path_get.c                 | C              |        103 |        103 |         49 |        255 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_allocate_new_cluster.c        | C              |         89 |         99 |         45 |        233 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_bitmap_cache_prepare.c        | C              |         29 |         70 |         22 |        121 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_bitmap_cache_update.c         | C              |         27 |         64 |         17 |        108 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_bitmap_flush.c                | C              |         31 |         65 |         20 |        116 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_bitmap_free_cluster_find.c    | C              |         47 |         81 |         34 |        162 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_bitmap_initialize.c           | C              |         61 |         88 |         38 |        187 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_bitmap_start_sector_get.c     | C              |         49 |         77 |         28 |        154 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_cluster_free.c                | C              |         74 |         97 |         45 |        216 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_cluster_state_get.c           | C              |         51 |         81 |         26 |        158 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_cluster_state_set.c           | C              |         45 |         76 |         26 |        147 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_geometry_check.c              | C              |        141 |        115 |         65 |        321 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_name_hash_get.c               | C              |         22 |         67 |         21 |        110 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_size_calculate.c              | C              |         43 |         85 |         30 |        158 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_system_area_checksum_verify.c | C              |         73 |         99 |         45 |        217 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_system_area_checksum_write.c  | C              |         29 |         67 |         20 |        116 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_system_area_format.c          | C              |         92 |        102 |         44 |        238 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_system_sector_write.c         | C              |         24 |         67 |         14 |        105 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_unicode_name_hash_get.c       | C              |         25 |         70 |         22 |        117 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_exFAT_upcase_table.c                | C              |        144 |         78 |         40 |        262 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_logical_sector_cache_entry_read.c   | C              |        175 |        118 |         67 |        360 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_logical_sector_flush.c              | C              |        226 |        188 |        109 |        523 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_logical_sector_read.c               | C              |        267 |        211 |        130 |        608 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_logical_sector_write.c              | C              |        194 |        163 |         88 |        445 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_memory_copy.c                       | C              |         10 |         66 |         14 |         90 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_memory_set.c                        | C              |         13 |         66 |         15 |         94 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_string_length_get.c                 | C              |         13 |         67 |         15 |         95 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_utility_token_length_get.c                  | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_attributes_read.c                | C              |         15 |         67 |         15 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_attributes_set.c                 | C              |         19 |         68 |         18 |        105 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_create.c                         | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_default_get.c                    | C              |         15 |         66 |         17 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_default_get_copy.c               | C              |         15 |         67 |         16 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_default_set.c                    | C              |         15 |         66 |         17 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_delete.c                         | C              |         15 |         64 |         16 |         95 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_first_entry_find.c               | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_first_full_entry_find.c          | C              |         18 |         74 |         17 |        109 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_information_get.c                | C              |         21 |         74 |         17 |        112 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_local_path_clear.c               | C              |         16 |         62 |         15 |         93 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_local_path_get.c                 | C              |         16 |         63 |         15 |         94 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_local_path_get_copy.c            | C              |         15 |         65 |         16 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_local_path_restore.c             | C              |         16 |         63 |         15 |         94 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_local_path_set.c                 | C              |         16 |         67 |         15 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_long_name_get.c                  | C              |         15 |         65 |         18 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_long_name_get_extended.c         | C              |         19 |         67 |         19 |        105 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_name_test.c                      | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_next_entry_find.c                | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_next_full_entry_find.c           | C              |         18 |         74 |         17 |        109 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_rename.c                         | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_short_name_get.c                 | C              |         15 |         65 |         18 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_directory_short_name_get_extended.c        | C              |         19 |         67 |         19 |        105 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_fault_tolerant_enable.c                    | C              |         17 |         66 |         17 |        100 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_allocate.c                            | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_attributes_read.c                     | C              |         15 |         66 |         16 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_attributes_set.c                      | C              |         19 |         67 |         18 |        104 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_best_effort_allocate.c                | C              |         15 |         67 |         17 |         99 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_close.c                               | C              |         15 |         63 |         17 |         95 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_create.c                              | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_date_time_set.c                       | C              |        149 |         93 |         52 |        294 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_delete.c                              | C              |         15 |         64 |         16 |         95 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_extended_allocate.c                   | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_extended_best_effort_allocate.c       | C              |         15 |         67 |         17 |         99 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_extended_relative_seek.c              | C              |         20 |         73 |         18 |        111 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_extended_seek.c                       | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_extended_truncate.c                   | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_extended_truncate_release.c           | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_open.c                                | C              |         34 |         76 |         28 |        138 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_read.c                                | C              |         15 |         67 |         17 |         99 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_relative_seek.c                       | C              |         20 |         73 |         18 |        111 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_rename.c                              | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_seek.c                                | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_truncate.c                            | C              |         15 |         64 |         17 |         96 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_truncate_release.c                    | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_write.c                               | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_file_write_notify_set.c                    | C              |         15 |         66 |         16 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_abort.c                              | C              |         15 |         63 |         17 |         95 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_cache_invalidate.c                   | C              |         15 |         64 |         18 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_check.c                              | C              |         15 |        104 |         18 |        137 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_close.c                              | C              |         15 |         63 |         17 |         95 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_close_notify_set.c                   | C              |         15 |         66 |         16 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_exFAT_format.c                       | C              |         21 |         83 |         20 |        124 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_extended_space_available.c           | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_flush.c                              | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_format.c                             | C              |         21 |         84 |         18 |        123 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_open.c                               | C              |         58 |         94 |         38 |        190 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_open_notify_set.c                    | C              |         15 |         66 |         16 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_read.c                               | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_space_available.c                    | C              |         15 |         65 |         17 |         97 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_volume_get.c                         | C              |         15 |         68 |         18 |        101 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_volume_get_extended.c                | C              |         19 |         70 |         19 |        108 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_volume_set.c                         | C              |         15 |         65 |         18 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_media_write.c                              | C              |         15 |         65 |         18 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_system_date_get.c                          | C              |         13 |         65 |         15 |         93 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_system_date_set.c                          | C              |        128 |         85 |         45 |        258 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_system_time_get.c                          | C              |         13 |         65 |         15 |         93 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_system_time_set.c                          | C              |         21 |         69 |         17 |        107 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_directory_create.c                 | C              |         22 |         69 |         18 |        109 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_directory_rename.c                 | C              |         31 |         72 |         20 |        123 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_file_create.c                      | C              |         22 |         68 |         19 |        109 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_file_rename.c                      | C              |         32 |         71 |         20 |        123 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_name_get.c                         | C              |         17 |         67 |         18 |        102 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_name_get_extended.c                | C              |         21 |         70 |         19 |        110 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_short_name_get.c                   | C              |         23 |         69 |         18 |        110 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fxe_unicode_short_name_get_extended.c          | C              |         27 |         71 |         19 |        117 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\ports\generic\inc\fx_port.h                               | C              |         96 |         77 |         50 |        223 |
| y:\RAMworkspace\F4Z_test\STM32F407ZGTX_FLASH.ld                                                         | LinkerScript   |        127 |         53 |         27 |        207 |
| y:\RAMworkspace\F4Z_test\STM32F407ZGTX_RAM.ld                                                           | LinkerScript   |        137 |         53 |         28 |        218 |
| y:\RAMworkspace\F4Z_test\bsp\CalcluateString.c                                                          | C              |         47 |         20 |          7 |         74 |
| y:\RAMworkspace\F4Z_test\bsp\GetRunTime.c                                                               | C              |          8 |         15 |          1 |         24 |
| y:\RAMworkspace\F4Z_test\bsp\GetRunTime.h                                                               | C              |         11 |         11 |          3 |         25 |
| y:\RAMworkspace\F4Z_test\bsp\GetTime.h                                                                  | C              |         24 |         14 |          5 |         43 |
| y:\RAMworkspace\F4Z_test\bsp\PrintArray.c                                                               | C              |         32 |         16 |          6 |         54 |
| y:\RAMworkspace\F4Z_test\bsp\PrintArray.h                                                               | C              |          2 |          6 |          2 |         10 |
| y:\RAMworkspace\F4Z_test\bsp\PrintError.h                                                               | C              |         32 |         15 |          5 |         52 |
| y:\RAMworkspace\F4Z_test\bsp\printf.c                                                                   | C              |        653 |        150 |        118 |        921 |
| y:\RAMworkspace\F4Z_test\bsp\printf.h                                                                   | C              |         23 |         74 |         21 |        118 |
| y:\RAMworkspace\F4Z_test\show_stype_size.c                                                              | C              |          0 |        106 |          8 |        114 |
| y:\RAMworkspace\F4Z_test\tree1.c                                                                        | C              |         58 |         10 |         11 |         79 |
| y:\RAMworkspace\F4Z_test\tree2.c                                                                        | C              |         90 |         11 |         17 |        118 |
| y:\RAMworkspace\F4Z_test\tree3.c                                                                        | C              |        118 |         18 |         18 |        154 |
| Total                                                                                                   |                |     29,153 |     27,966 |     12,608 |     69,727 |
+---------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
